source,organization,title,description
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"> Agronomic measures > Summer deep ploughing with Mouldboard or disc > Dobha construction for In-situ rain water conservation Line sowing in upland rice areas through suitable seeding devices is required to be made popularized for desired plant population. This will facilitate to control weeds and also to carry out intercultural operations. > RD Spacing > Zero tillage practices > Seed rate - Sole- full quantity and in case of Intercropping reduce seed rate by 30-40 % according to spacing > RDF and in case of Intercropping reduce 1/3rd dose for intercrop > Weed control ( Maize- Atrazine as pre-emergence, Pulses- pre-emergence Imizathyper or Pendimithilin@ 1 kg a.i./ha, Soybean- Flucloralin or Basalin and also for vegetables > Bund construction for unbunded upland > Broadcast Well rotten FYM along with 1/4th N + Full basal application of P, K of recommended dose for all crops and for vigorous seedling growth of vegetables > Ridge and furrow method for moisture Conservation in cereals, pulses and vegetables > Inter-cropping to meet the consequences of occasional Drought. > Follow RDF for all upland crops and add Sulphur @ 20kg/ha soil application for pulses and oilseed. > In case of phosphogypsum for soil application apply @ 120 kg/ha > Lime or dolomite application for pulses and oilseed @ 3-5 q/ha in furrow at the time of sowing. > In vegetable nursery apply carbofuran @ 3gm/m2 or phorate 10 G @ 1gm/ m2 or neem cake @ 50 kg/ha > Follow recommended seed rate > Treat the leguminous seed in the sequence of FIR (Bavistin @ 2gm/kg, Imidacloprid @ 3 ml or Chlorpyriphos @ 5ml/kg, Rhizobium 500 gm/ha , PSB @ 500 gm/ha and for non leguminous treat seed with Fungicide + Insecticide + soil application Azotobacter @ 2kg /ha > Foliar application of Urea 2% solution + lime in lady's finger > Application of required fungicide and insecticide in case of population count more than the ETL or as prophylactic measure > Dry seeding with 15% to 20% higher seed rate. Seed treatment with Rhizobium in pulses. Maximum use of organic manure > Awareness for more and more use of organic manures, biopesticides for organic cultivation with IFS (eight components linkages)"
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Understanding Impact of Climate Change on Agriculture Value Chains,"Climate change is increasingly seen as a major threat to food security and the sustainability of agriculture. Its impact on agriculture could threaten the livelihoods of many households dependent on agriculture and allied activities. Agricultural productivity is affected by climate change both directly (due to changes in temperature, precipitation, and CO2 levels) and indirectly (through changes in soil, pest infestations, and diseases). Water deficit conditions combined with thermal stress could adversely affect important food crops like wheat and rice. The Indian Agricultural Research Institute (IARI) found that increases in temperature (by about 2°C) reduced potential grain yields in most places. Reductions in yields are predicted to be more pronounced for rain-fed crops as opposed to irrigated crops. In subtropical environments, the decrease in potential wheat yields ranged from 1.5 to 5.8%, while in tropical areas, the decrease was relatively higher."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Understanding Impact of Climate Change on Agriculture Value Chains,"A value chain in agriculture adds value to product or service through various activities such as transportation, storage, and processing. This value contribution is influenced by relationships between actors, information sharing, and efficient handling of processes. Growth and development of agricultural value chains are essential for economic empowerment, especially for small and marginal farmers. Climate change affects the entire value chain from producer to final consumer, impacting the quality and quantity of agricultural products and the value addition made by value chain agents. Climate change impacts lead to higher operational costs for value chain actors, particularly small businesses, due to increased electricity charges, fumigation expenses, and lower capacity utilization in storage facilities. Value chain actors need to adapt to these changes to preserve their value-addition capabilities, ensuring business continuity and competitiveness."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Understanding Impact of Climate Change on Agriculture Value Chains,"Climate change affects value chains by impacting procurement, production, and transportation costs. It leads to increased costs for warehouse and cold storage operations due to higher electricity and fumigation expenses. The vulnerability of small businesses in the value chain is higher due to limited financial resources and inadequate planning and preparedness. The adoption of short-duration high-yielding varieties (HYV) by farmers affects the business of traders, warehouse owners, and processors. Increasing moisture content in raw materials impacts processing costs and conversion ratios. Value chain actors mitigate climate risks by adopting strategies like alternate procurement sources, improving supply chains, and investing in new plants and machinery. However, this increases their financial risks. Limited studies have focused on post-harvest value chain impacts, leading to insufficient policy inputs and responses to develop climate resilience in post-harvest value chain agents."
21_Biodiversity-position-paper.pdf,WOTR,Biodiversity and Ecosystem Services,"Biodiversity and Ecosystem Services provide products like clean drinking water and processes such as the decomposition of wastes. Political leaders, policy makers, economists, development professionals, and common people do not adequately appreciate the import of biodiversity. The classic example is the Biodiversity Act of 2002, which is still not being implemented effectively. The benefits that we gain from biodiversity go far beyond the mere provision of raw materials. Ecosystem services provide us with resources for living and livelihoods. They also clean up and detoxify the wastes that we generate, and convert them afresh into usable resources."
21_Biodiversity-position-paper.pdf,WOTR,Biodiversity and Ecosystem Services,"Human beings benefit from a multitude of resources and processes that are supplied by natural ecosystems. Together, these benefits are known as ecosystem services and include products like clean drinking water and processes such as the decomposition of wastes. Our food and energy security strongly depends on biodiversity. So does our ability to mitigate vulnerability to natural hazards such as fires, flooding, and drought. Biodiversity loss has negative effects on our health and material adequacy, and it largely limits our freedom of choice."
21_Biodiversity-position-paper.pdf,WOTR,Biodiversity and Ecosystem Services,"As all cultures gain inspiration from ecosystems or their components, e.g. landscapes, trees, hills, rivers, or particular species, or attach spiritual and religious values to them, biodiversity loss also strongly influences our social relations. Every decision we take that affects biodiversity, also affects our lives and the lives of other people. Biodiversity is crucial to human wellbeing, sustainable development, and poverty reduction."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Review of Literature,"The key findings of the literature review and case studies presented above can be summed up as: 1. The available literature highlights the climate risks associated with various commodities and a few actors of the value chain. It focuses on the climate risks such as increasing temperature, uneven rainfall, floods, drought, etc., and its impact on agriculture production systems; 2. The literature also looks at mitigation measures undertaken by farmers or companies/businesses at the production stage, as most direct climate risks and exposure to vulnerability are more evident at the pre-harvest stage. The deterioration at this stage results in an indirect impact up the value chain; 3. There have been a few studies which explain commodities such as maize, rice, wheat, etc., but fail to highlight the impact of climate change on different actors along the chain."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Review of Literature,"Available studies that have highlighted the impact on value chains and adaptive measures reveal that in most cases, the measures are reactionary and undertaken in isolation by actors. Thus, they remain too unit specific and uncoordinated to be able to create risk mitigation along the entire value chain. There are very few documented evidences of post-harvest adaptations in value chains. It is in this context that the present study 'Understanding climate change adaptation for smallholders/marginal farmers and quantifying its impact on agri-allied value chains in Indo-Gangetic Plains (IGP)' is of significance in exploring the gaps identified in the studies reviewed above. The present study focuses on post-harvest adaptations to climate change as we move up the value chain."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,Review of Literature,"The review of the available literature shows that most studies done so far largely focused on the impact of climate change on agriculture with very little attention given to studying the impact of climate change on post-harvest value chain agents, their adaptations, and adaptation costs. Some studies focused on the adaptation measures of some key post-harvest value agents but again the entire value chain focus was missing. This study aims not only to understand the impact of climate change on the value chain of identified crops and climate adaptations by the actors but also to explore the effect of climate adaptations on actors across the value chain. Through this study, an attempt is being made to bring together various climate change-related issues which affect the agriculture value chains in IGP with specific focus on the states of Uttar Pradesh and Bihar."
Ecologic_July-2019.pdf,WOTR,Ecologic A WOTR Newsletter July 2019,"Nature friendly, integrated pest management practices gains ground in Rajur, Maharashtra. Many farmers have experienced the disappointment of carefully raising a crop only to have it damaged or destroyed by an invasion of pests. The practice generally carried out by farmers in such situations is to spray crops heavily with pesticides. This results in significantly higher input costs for farmers, not to mention health and environment hazards. Thus, there is a need for more environmentally friendly pest control methods. One such system is the Integrated Pest Management (IPM), which is an eco-friendly approach that aims at keeping pest population at manageable levels, with minimal use of pesticides. Instead, it employs a combination of alternate pest control methods and techniques with emphasis on the use of bio-pesticides and pesticides of plant-origin like Neem formulations."
Ecologic_July-2019.pdf,WOTR,Ecologic A WOTR Newsletter July 2019,"One village that is seeing this kind of transition to the use of nature friendly bird perches is the Chincholi village of Jalna district, Maharashtra. Agriculture is a mainstay of the village and cotton is the main cash crop. Gajanan Hiwale, a farmer from the village owns four acres of land on which he grows soybean, cotton and chickpea. The story of Gajanan focusses on the issue of farmers distress due to the exorbitant price of chemical pesticides. Earlier, Gajanan grew soybean, cotton and maize on his field, but his crops suffered much due to the attacks of leaf-eating caterpillar and girdle beetle on soybean, sucking pests on cotton, white grub on maize and pod borer on chickpea. He says, 'I used to spend around Rs. 9-10,000 on chemical pesticides for my 1.5 acre chickpea plot. To buy pesticides, I had to go to Rajur market, which is 10 km away from my village. I have also heard about the health issues due to these chemical pesticides which made me even more apprehensive, but I was not aware of what I could do.'"
Ecologic_July-2019.pdf,WOTR,Ecologic A WOTR Newsletter July 2019,"To address this issue, it was found that farmers were using chemical pesticides to an excessive degree, leading to deterioration in the soil health. For the next few seasons, the use and benefits of intercropping of bird perches in 10 to 12 'demo plots' of farmers in every village were demonstrated. The project was not just limited to the use of bird perches. The use of biocontrol agents, bio-pesticides, and integrated pest-disease management techniques were also taught in farm field schools (FFS). Gajanan had attended the FFS in 2016 and after learning about the bird perches, he grew sorghum (bird perches) with chickpea (main crop) in his field. He says, 'Earlier, I used to spray chemical pesticides three times a year; but now I just spray it two times or sometimes less than that. The rest of the pests are taken care by sorghum (bird perches) grown in my field. The birds who come to eat the Sorghum also end up eating the pod borer pests, thus controlling their spread.' It gave him an apt solution for his pest problem because his annual expenditure has reduced by about 30% for his chickpea crop since he started using the bird perches. In Jalna district, the problems of pod borer and army worm infestation are severe, and hence both organic practices and bird perches farming are needed to reduce the frequency of chemical spraying. When farmers saw the benefits of using bird perches with their own eyes, they themselves started taking it up. Currently, over 40 farmers in Chincholi village are practicing integrated pest management."
"Resource Conservation
 Technology in Pulse Based
 Cropping Systems",ICAR,Residue Management and Pulses,"Crop residues are portions of plants remaining after seed harvest. Residues are important in nutrient distribution and plant growth as they affect the amount of soil nutrients available to crops. Plant residues influence N cycling in soils because they are primary sources and sinks for C and N. Residues allow N to be available to plants for longer periods through initially immobilizing, and then gradually mineralizing N. However, in many parts of the tropics, crop residues are burnt in the field due to the ignorance of farmers about their value and lack of proper technology for in situ incorporation of residues. Burning one tonne of straw releases 3 kg particulate matter, 60 kg CO, 1460 kg CO2, 199 kg ash, and 2 kg SO4-2. Consequently, proper management and incorporation of crop residues can enhance soil fertility and climate resilience."
